horizon,true_pos_rate,false_pos_rate,false_neg_rate,true_neg_rate,true_pos_ave_obs,true_pos_ave_q05,true_pos_ave_q50,true_pos_ave_q95,false_pos_ave_obs,false_pos_ave_q05,false_pos_ave_q50,false_pos_ave_q95,false_neg_ave_obs,false_neg_ave_q05,false_neg_ave_q50,false_neg_ave_q95,true_neg_ave_obs,true_neg_ave_q05,true_neg_ave_q50,true_neg_ave_q95,overall_ave_q05,overall_ave_q50,overall_ave_q95,obs_drought_ave_q05,obs_drought_ave_q50,obs_drought_ave_q95
7.000000000000000000e+00,7.709513725176808663e-01,6.501862586860494841e-02,2.290486274823191060e-01,9.349813741313950377e-01,8.379305654774002576e+00,3.907529036282451962e+00,8.870066843765409104e+00,3.915744657091408953e+01,3.794659334747123580e+01,6.300096203024903474e+00,1.352027822692659242e+01,4.871854202785785759e+01,1.356455816427333083e+01,1.295515515288592390e+01,3.147625373659155201e+01,6.766539044475850062e+01,6.159253352943398596e+01,3.984752606668399011e+01,6.106381621928109382e+01,8.050677984818145205e+01,3.085062681670827445e+01,4.852450193595710459e+01,7.139488946594983076e+01,5.979875380263662166e+00,1.404798292417603101e+01,4.568715198756113693e+01
1.400000000000000000e+01,6.227419935228499792e-01,8.289781823474152989e-02,3.772580064771500763e-01,9.171021817652584840e-01,8.098666462970470548e+00,3.638510035996040948e+00,9.368718400594890028e+00,5.511584861738185026e+01,4.233133325434861405e+01,5.485013085408119160e+00,1.312818403365723974e+01,6.385296803970087609e+01,1.198184722739646091e+01,1.198667629024088832e+01,3.651283265316615712e+01,8.005291263715233185e+01,6.152364550799256193e+01,3.221582640603070047e+01,6.117182921462519118e+01,8.601891532585412392e+01,2.498249639783062293e+01,4.906596678840322312e+01,7.993224790343872144e+01,6.787922594812269672e+00,1.960905283110792396e+01,6.452355567687352789e+01
2.100000000000000000e+01,5.493345608448765294e-01,8.215937225295830149e-02,4.506654391551234706e-01,9.178406277470416708e-01,8.026452482869794736e+00,3.648226011383532530e+00,9.643819679654265897e+00,5.824720018582627290e+01,4.345382385317425644e+01,5.392558262055073826e+00,1.305112946225679238e+01,6.591688900327969236e+01,1.150225485639767342e+01,1.204467591798150394e+01,3.911719186223704270e+01,8.194866220583065797e+01,6.137112062964693138e+01,2.940877642045245111e+01,6.100009254323846619e+01,8.692614040151428867e+01,2.309479291987103267e+01,4.969000284563755088e+01,8.165001347784667018e+01,7.435760174844061154e+00,2.309743474238728922e+01,6.883792760507543562e+01
2.800000000000000000e+01,4.759271281669031350e-01,8.142092627117507309e-02,5.240728718330969205e-01,9.185790737288249685e-01,7.954238502769119812e+00,3.657941986771023668e+00,9.918920958713641767e+00,6.137855175427069554e+01,4.457631445199989173e+01,5.300103438702029379e+00,1.297407489085634502e+01,6.798080996685851574e+01,1.102266248539888771e+01,1.210267554572211957e+01,4.172155107130792828e+01,8.384441177450898408e+01,6.121859575130130082e+01,2.660172643487420174e+01,6.082835587185174830e+01,8.783336547717445342e+01,2.120708944191144596e+01,5.031403890287187863e+01,8.336777905225461893e+01,8.083597754875853525e+00,2.658581665366665092e+01,7.315229953327734336e+01
3.500000000000000000e+01,4.456060821719723952e-01,8.258651623864711466e-02,5.543939178280277158e-01,9.174134837613528992e-01,7.981492095584784785e+00,3.740167096731901175e+00,1.004743818911517117e+01,6.246648610914018462e+01,4.531010325035870068e+01,5.288135645591963474e+00,1.293400848801978320e+01,6.868571677040074519e+01,1.085683456447714690e+01,1.216640421506792080e+01,4.249769365931373244e+01,8.411803777235505208e+01,6.109761139740508185e+01,2.571307544416234947e+01,6.064276063442976294e+01,8.787111838647064133e+01,2.061689031161052910e+01,5.045278120603895644e+01,8.369109640592333221e+01,8.409939211034259898e+00,2.809657248852514400e+01,7.439590261932373494e+01
4.200000000000000000e+01,4.152850361770415999e-01,8.375210620611915624e-02,5.847149638229584001e-01,9.162478937938809409e-01,8.008745688400448870e+00,3.822392206692779126e+00,1.017595541951670057e+01,6.355442046400966660e+01,4.604389204871750962e+01,5.276167852481897569e+00,1.289394208518322316e+01,6.939062357394298886e+01,1.069100664355540609e+01,1.223013288441372381e+01,4.327383624731953660e+01,8.439166377020112009e+01,6.097662704350886287e+01,2.482442445345049720e+01,6.045716539700778469e+01,8.790887129576682923e+01,2.002669118130960868e+01,5.059152350920603425e+01,8.401441375959203128e+01,8.736280667192668048e+00,2.960732832338363352e+01,7.563950570537014073e+01
4.900000000000000000e+01,3.849639901821108601e-01,8.491769617359119782e-02,6.150360098178891954e-01,9.150823038264088716e-01,8.035999281216113843e+00,3.904617316653657078e+00,1.030447264991822820e+01,6.464235481887915569e+01,4.677768084707631147e+01,5.264200059371832552e+00,1.285387568234666134e+01,7.009553037748523252e+01,1.052517872263366527e+01,1.229386155375952505e+01,4.404997883532534075e+01,8.466528976804718809e+01,6.085564268961264389e+01,2.393577346273864137e+01,6.027157015958580644e+01,8.794662420506300293e+01,1.943649205100869182e+01,5.073026581237311206e+01,8.433773111326074456e+01,9.062622123351076198e+00,3.111808415824212659e+01,7.688310879141653231e+01
5.600000000000000000e+01,3.546429441871801203e-01,8.608328614106323939e-02,6.453570558128198797e-01,9.139167138589368022e-01,8.063252874031778816e+00,3.986842426614534585e+00,1.043298988031975760e+01,6.573028917374864477e+01,4.751146964543512041e+01,5.252232266261766647e+00,1.281380927951009951e+01,7.080043718102746197e+01,1.035935080171192446e+01,1.235759022310532629e+01,4.482612142333114491e+01,8.493891576589325609e+01,6.073465833571642492e+01,2.304712247202678910e+01,6.008597492216382108e+01,8.798437711435919084e+01,1.884629292070777495e+01,5.086900811554018986e+01,8.466104846692945785e+01,9.388963579509482571e+00,3.262883999310061967e+01,7.812671187746292389e+01
6.300000000000000000e+01,3.404716909676494541e-01,8.662828473275883956e-02,6.595283090323506014e-01,9.133717152672411466e-01,8.096798061582784811e+00,4.067347634089046871e+00,1.057945612843949945e+01,6.645448257916288526e+01,4.801630321896497833e+01,5.371775483790204753e+00,1.290454933173196395e+01,7.154177485552050086e+01,1.028324256598633468e+01,1.246996371912034007e+01,4.543075292929139408e+01,8.523246961129491694e+01,6.063193064163027657e+01,2.253035275144929628e+01,5.981263008464024722e+01,8.808089093984808926e+01,1.852274895214410932e+01,5.086099746422787860e+01,8.492126246937770873e+01,9.610917266444088725e+00,3.359084407863092281e+01,7.881468580449119088e+01
7.000000000000000000e+01,3.263004377481187324e-01,8.717328332445443972e-02,6.736995622518813231e-01,9.128267166755456019e-01,8.130343249133790806e+00,4.147852841563558712e+00,1.072592237655924130e+01,6.717867598457712575e+01,4.852113679249483624e+01,5.491318701318641970e+00,1.299528938395383015e+01,7.228311253001353975e+01,1.020713433026074490e+01,1.258233721513535386e+01,4.603538443525164325e+01,8.552602345669657780e+01,6.052920294754412822e+01,2.201358303087179991e+01,5.953928524711667336e+01,8.817740476533697347e+01,1.819920498358044370e+01,5.085298681291557443e+01,8.518147647182595961e+01,9.832870953378693102e+00,3.455284816416122595e+01,7.950265973151944365e+01
7.700000000000000000e+01,3.121291845285880662e-01,8.771828191615003989e-02,6.878708154714119338e-01,9.122817180838499462e-01,8.163888436684795025e+00,4.228358049038070554e+00,1.087238862467898315e+01,6.790286938999138044e+01,4.902597036602470126e+01,5.610861918847080076e+00,1.308602943617569458e+01,7.302445020450657864e+01,1.013102609453515690e+01,1.269471071115036942e+01,4.664001594121189953e+01,8.581957730209822444e+01,6.042647525345797277e+01,2.149681331029430709e+01,5.926594040959310661e+01,8.827391859082587189e+01,1.787566101501677807e+01,5.084497616160326317e+01,8.544169047427421049e+01,1.005482464031329926e+01,3.551485224969152910e+01,8.019063365854771064e+01
8.400000000000000000e+01,2.979579313090573445e-01,8.826328050784564005e-02,7.020420686909426555e-01,9.117367194921544016e-01,8.197433624235801020e+00,4.308863256512582396e+00,1.101885487279872500e+01,6.862706279540562093e+01,4.953080393955455918e+01,5.730405136375517294e+00,1.317676948839756079e+01,7.376578787899961753e+01,1.005491785880956712e+01,1.280708420716538321e+01,4.724464744717214870e+01,8.611313114749988529e+01,6.032374755937182442e+01,2.098004358971681071e+01,5.899259557206953275e+01,8.837043241631475610e+01,1.755211704645311244e+01,5.083696551029095900e+01,8.570190447672246137e+01,1.027677832724790363e+01,3.647685633522183224e+01,8.087860758557596341e+01
9.100000000000000000e+01,2.837866780895266783e-01,8.880827909954124022e-02,7.162133219104733772e-01,9.111917209004587459e-01,8.230978811786807015e+00,4.389368463987094238e+00,1.116532112091846685e+01,6.935125620081986142e+01,5.003563751308441709e+01,5.849948353903955400e+00,1.326750954061942522e+01,7.450712555349265642e+01,9.978809623083977343e+00,1.291945770318039699e+01,4.784927895313239787e+01,8.640668499290154614e+01,6.022101986528567608e+01,2.046327386913931790e+01,5.871925073454595889e+01,8.846694624180365452e+01,1.722857307788944681e+01,5.082895485897864774e+01,8.596211847917071225e+01,1.049873201418250979e+01,3.743886042075213538e+01,8.156658151260423040e+01
